Debiteurnummer,Account,Adres + nr,nummer,toevoeging,Postcode,Plaats,Stadsdeel,,,,,,,,,,Sector
000001,Bresser & Timmer,Nude 54F,54,F,6702DN,Wageningen,Wageningen,,,,,,,,,,
000002,Amstel Hotel (A Bar),Professor Tulpplein 1,1,,1018GX,Amsterdam,020-Centrum-Oost,,,✔️,,Gebruik pasje om hek rechts van hoofdingang te openen. Trap af of goederenlift gebruiken ,,,,,2
000005,Pig's & Punch,Utrechtsestraat 30a,30,A,1017VN,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000006,Horeca4u BV,Portsmuiden 39,39,,1046AH,Amsterdam,020-Westpoort,,,,,,,,,,4
000007,Tequila Unlimited BV,Latexweg 10,10,,1047BJ,Amsterdam,020-Westpoort,,,,,,,,,,4
000008,HPS Amsterdam,Rapenburg 18,18,,1011TX,Amsterdam,020-Centrum,,,,,Liefst laat op de route. Indien niet aanwezig Leveren bij Gebr. Hatering ,,,,,5
000009,G's Goudsbloemstraat B.V.,Goudbloemstraat 91,91,,1015JK,Amsterdam,020-Centrum-West,,,,,,,,,,4
000010,The Butcher - Bread&Butter B.V.,Govert Flickstraat 171,171,,1072CS,Amsterdam,020-Zuid - De Pijp,,,✔️,,Leveranciersingang Govert Flinckstraat,,,,,3
000011,Ron's Gastrobar,Sophialaan 55,55,,1075BP,Amsterdam,020-Zuid,,,,,,,,,,3
000012,Orange Zest hodn DVARS Rol Financial BV,Postbus 34160,34160,,3005GD,Rotterdam,Rotterdam,,,,,,,,,,
000013,Door 74,Regulierdwarsstraat 74,74,,1017BN,Amsterdam,020-Centrum-Zuid,,,✔️,,,,D74,,,3
000014,B2B contant,,,,,,,,,,,,,,,,
000017,Haromex Development BV,Noordhoven 13,13,,6042NW,Roermond,Roermond,,,,,,,,,,
000018,Bishkek Vodka,Marconistraat 52,52,,3029AK,Rotterdam,Rotterdam,,,,,,,,,,
000019,Allsafe Mini opslag,Joan Muyskenweg 38,38,,1099CK,Amsterdam,020-Oost,,,,,,,,,,2
000020,De Ruyters & De Koning Transport,Van Akenweg 107a,107,A,6218HL,Maastricht,Maastricht,,,,,,,,,,
000022,T-Mobile,Postbus 16878,16878,,2500BW,Den Haag,Den Haag,,,,,,,,,,
000024,Leisure International BV / Cred. Admin.,Stadhouderskade 12,12,,1054ES,Amsterdam,020-West,,,,,,,,,,4
000025,Andaz Hotel Amsterdam,Prinsengracht 587,587,,1016HT,Amsterdam,020-Centrum-West,,,,,,,,,,4
000026,Cinema Paradiso,Westerstraat 186,186,,1015MR,Amsterdam,020-Centrum-West,,,,,,,,,,4
000027,DDMC,Veemarkt 49,49,,1019DA,Amsterdam,020-Oost-Zeeburg,,,,,,,,,,2
000028,Bo Cin,Langs Leidsdwarsstraat 53-59,53,,1017NH,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000030,Hoopman Bodega B.V.,Leidseplein 4,4,,1017PT,Amsterdam,020-Centrum-Zuid,,11:30,,,voor 12:00 op Leidseplein - door Leidsestraat,,,,,3
000031,The College Hotel,Roelof Hartstraat 1,1,,1071VE,Amsterdam,020-Zuid,,,,,,,,,,3
000032,Vanilla Venture,Contactweg 30e,30,,1014AN,Amsterdam,020-West,,,,,,,,,,4
000034,Balder Logistiek,Schillingweg 58,58,,2153PL,Nieuw Vennep,Nieuw Vennep,,,,,,,,,,
000035,Staples Office Centre,Zekeringstraat 49,49,,1014BP,Amsterdam,020-West,,,,,,,,,,4
000038,Wish Design,Vlietlaan 49a3,49,A3,3061DV,Rotterdam,Rotterdam,,,,,,,,,,
000039,Unidex,Postbus 301,301,,2180AH,Hillegom,Hillegom,,,,,,,,,,
000040,Dranken Unie,Postbus 182,182,,2950AD,Alblasserdam,Alblasserdam,,,,,,,,,,
000041,Le Pub Leidseplein B.V.,Leidseplein 4,4,,1017PT,Amsterdam,020-Centrum-Zuid,,11:30,,,Parkeren voor 12:00 op Leidseplein,,,,,3
000042,Vesper Bar,Vinkenstraat 57,57,,1013JM,Amsterdam,020-Centrum,,,,✔️,vanaf 11u Sleutel halen bij Small World Café (buren) en weer terug brengen daar! ,,,,,5
000043,Anker Amsterdam Spirits B.V.,Slego 2,2,,1046BM,Amsterdam,020-Westpoort,,,,,,,,,,4
000044,Mark's World of Taste,Touwslagersbaan 11,11,,6602AH,Wijchen,Wijchen,,,,,,,,,,
000045,Multirent,Van der Madeweg 25,25,,1099BS,Amsterdam,020-Oost,,,,,,,,,,2
000049,Arti 70,Energieweg 10,10,,4231DJ,Meerkerk,Meerkerk,,,,,,,,,,
000050,Schwartzenberg,Duinenberg 9,9,,6099CS,Beegden,Beegden,,,,,,,,,,
000051,Beleef Smaak Mijbn Broer en Ik,Koningin Wilheminastraat 85,85,,5321TB,Hedel,Hedel,,,,,,,,,,
000052,Diageo,Postbus 58247,58247,,1040HE,Amsterdam,020-Westpoort,,,,,,,,,,4
000055,Victor D Ponten,Entrepotdok 210,210,,1018AD,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
