date,route_id,leg,start_s,end_s,duration_s,distance_m,deviation_pct,from_city,to_city,from_address,to_address,from_lat,from_lon,to_lat,to_lon,driver_id,vehicle_plate,bus_name,administration,source_file
2024-11-01,2024-11-01-Rebel,1,29820,29820,25,0,,Amsterdam,Amsterdam,"Portsmuiden 11, Amsterdam, NL","Portsmuiden 11, Amsterdam, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,2,30600,33600,3023,53990,7.0,Amsterdam,Utrecht,"Portsmuiden 11, Amsterdam, NL","Willemstraat 9, Utrecht, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,3,34380,34620,286,540,-70.0,Utrecht,Utrecht,"Willemstraat 9, Utrecht, NL","Oudegracht 113, Utrecht, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,4,34920,34980,53,90,-36.0,Utrecht,Utrecht,"Oudegracht 113, Utrecht, NL","Oudegracht 139, Utrecht, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,5,35460,35640,238,530,-61.0,Utrecht,Utrecht,"Oudegracht 139, Utrecht, NL","Oudegracht 56, Utrecht, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,6,35880,36600,710,1700,-7.0,Utrecht,Utrecht,"Oudegracht 56, Utrecht, NL","Mariastraat 49, Utrecht, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,7,36840,37260,386,1090,-75.0,Utrecht,Utrecht,"Mariastraat 49, Utrecht, NL","Janskerkhof 7, Utrecht, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,8,37860,38100,246,1130,151.0,Utrecht,Utrecht,"Janskerkhof 7, Utrecht, NL","Wijde Begijnestraat 4, Utrecht, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,9,38400,39120,716,2650,215.0,Utrecht,Utrecht,"Wijde Begijnestraat 4, Utrecht, NL","Willem Van Noortstraat 108, Utrecht, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,10,39360,40320,985,9010,-18.0,Utrecht,Utrecht,"Willem Van Noortstraat 108, Utrecht, NL","Winthontlaan 28, Utrecht, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,11,40680,41040,375,940,7.0,Utrecht,Utrecht,"Winthontlaan 28, Utrecht, NL","Eendrachtlaan 300, Utrecht, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,12,41940,44280,2350,46000,2.0,Utrecht,Amsterdam,"Eendrachtlaan 300, Utrecht, NL","Oostelijke Handelskade 1007, Amsterdam, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,13,44460,45540,1110,5100,10.0,Amsterdam,Amsterdam,"Oostelijke Handelskade 1007, Amsterdam, NL","Nieuwe Doelenstraat 55, Amsterdam, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,14,45960,46560,590,520,8.0,Amsterdam,Amsterdam,"Nieuwe Doelenstraat 55, Amsterdam, NL","Rokin 75, Amsterdam, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,15,48420,48480,22,0,,Amsterdam,Amsterdam,"Rokin 75, Amsterdam, NL","Rokin 75, Amsterdam, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,16,48480,49980,1485,3800,400.0,Amsterdam,Amsterdam,"Rokin 75, Amsterdam, NL","Paleisstraat 16, Amsterdam, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,17,50400,50460,62,60,-25.0,Amsterdam,Amsterdam,"Paleisstraat 16, Amsterdam, NL","Singel 286, Amsterdam, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,18,50820,50940,135,340,,Amsterdam,Amsterdam,"Singel 286, Amsterdam, NL","Herengracht 281, Amsterdam, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
2024-11-01,2024-11-01-Rebel,19,51120,51420,275,680,8.0,Amsterdam,Amsterdam,"Herengracht 281, Amsterdam, NL","Keizersgracht 234, Amsterdam, NL",,,,,,,Rebel,1 (VNZ-20-TRebel),rebel_Ritten overzicht 2024.11.01-2025.11.11.csv
